language;desc;rust;go;java;python;js_chrome;node.js;
mandelbrot-1;print-slope;3077775000;2587064300;2878302700;189936364889;2574000000;2542000000;
mandelbrot-2;print-slope;2636967900;2518735300;2880843800;180346243143;2400000000;2524000000;
mandelbrot-3;print-slope;2608806800;2877337400;2809711800;181285241127;2593000000;2568000000;
mandelbrot-4;no-print;2345935400;2512157700;2739404800;186244875669;2595000000;2495000000;
mandelbrot-5;no-print;428645200;184977000;2871481700;187984528303;2300000000;2593000000;
write-file-1;print-slope;3008847800;135650100;-;-;;-;
write-file-2;print-slope;473499600;134891700;-;-;-;
write-file-3;print-slope;567913300;143700400;-;-;-;
write-file-4;no-print;2453581500;2599558200;-;-;-;
write-file-5;no-print;464831800;150474400;-;-;-;
